Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword
gobelet,1,1,6600,78.65,0.62,http://www.atelierdugobelet.fr/fr/388-gobelets-reutilisable-25-cl-33cl,3102,11.83,1923.00,1,6350000,"[67,81,81,81,81,81,81,81,81,100,100,100]",1584630097,"Knowledge panel, Site links, Reviews"
gobelet personnalisé,1,1,6600,65.42,0.71,http://www.atelierdugobelet.fr/fr/,3102,11.83,2202.00,1,578000,"[44,55,67,82,100,100,100,82,67,44,36,82]",1584604774,"Image pack, Site links, Reviews, AdWords top, AdWords bottom, FAQ"
atelier du gobelet,1,1,2900,77.23,0.65,http://www.atelierdugobelet.fr/fr/,2320,8.85,1508.00,0.3,9530000,"[43,66,66,100,82,82,55,66,66,55,36,66]",1584620640,"Knowledge panel, Image pack, Site links, Reviews, Video"
gobelet personnalisable,1,1,4400,64.51,0.83,http://www.atelierdugobelet.fr/fr/,2068,7.89,1716.00,1,413000,"[54,81,81,100,100,100,100,81,67,54,44,81]",1584626498,"Image pack, Site links, Reviews, Video, FAQ"
gobelet réutilisable,1,1,3600,70.24,0.74,http://www.atelierdugobelet.fr/fr/388-gobelets-reutilisable-25-cl-33cl,1692,6.45,1252.00,1,1170000,"[35,44,54,67,100,81,54,67,67,54,44,81]",1584607820,"Image pack, Site links, Reviews, Video Carousel"
l atelier du gobelet,1,1,1900,73.81,0.78,http://www.atelierdugobelet.fr/fr/,1520,5.8,1185.00,0.36,4640000,"[55,66,83,100,100,83,66,83,83,66,34,83]",1584415145,"Knowledge panel, Image pack, Site links, Reviews, AdWords top"
verre plastique personnalisé,1,2,1300,67.36,0.45,http://www.atelierdugobelet.fr/fr/,1040,3.96,468.00,1,2790000,"[46,46,46,68,100,100,100,84,46,38,38,53]",1584593966,"Image pack, Site links, Reviews, Video, AdWords top, AdWords bottom, Shopping ads"
gobelet plastique personnalisé,1,1,1000,68.15,0.58,http://www.atelierdugobelet.fr/fr/,800,3.05,464.00,1,332000,"[46,46,46,46,84,100,100,68,53,46,31,46]",1584651484,"Image pack, Site links, Reviews, FAQ"
porte gobelet,1,1,1600,81.48,0.26,http://www.atelierdugobelet.fr/fr/398-porte-gobelet,752,2.86,195.00,1,11100000,"[46,53,68,84,100,100,84,84,68,68,68,84]",1584511180,"Image pack, Reviews"
gobelets réutilisables personnalisés,1,1,720,61.21,0.73,http://www.atelierdugobelet.fr/fr/gobelet-reutilisable-ecologique,576,2.19,420.00,1,58100,"[59,72,88,100,100,88,72,72,39,48,39,88]",1584180132,"Image pack, Site links, Reviews, AdWords top, Shopping ads"
gobelet plastique,4,3,6600,79.21,0.41,http://www.atelierdugobelet.fr/fr/,462,1.76,189.00,1,20300000,"[30,45,45,45,55,55,55,82,67,67,67,100]",1584620170,"Image pack, Site links, Reviews, AdWords bottom"
gobelet reutilisable,1,1,880,68.82,0.90,http://www.atelierdugobelet.fr/fr/388-gobelets-reutilisable-25-cl-33cl,413,1.57,372.00,1,45400,"[48,72,88,100,100,88,72,88,88,72,59,100]",1584378714,"Image pack, Site links, Reviews, AdWords top, AdWords bottom, Video Carousel"
gobelet recyclable,1,1,720,64.35,0.43,http://www.atelierdugobelet.fr/fr/gobelet-reutilisable-ecologique,338,1.28,145.00,1,298000,"[55,82,67,82,82,67,67,100,100,82,67,100]",1584489614,"Image pack, Site links, Reviews, AdWords top, Shopping ads"
gobelet réutilisable 33cl,1,1,590,63.48,0.70,http://www.atelierdugobelet.fr/fr/388-gobelets-reutilisable-25-cl-33cl,277,1.05,194.00,1,85,"[36,67,67,82,100,67,55,55,55,44,36,67]",1584244841,"Image pack, Site links, Reviews, Video, AdWords bottom, Shopping ads"
gobelet plastique rigide,1,1,590,75.32,0.36,http://www.atelierdugobelet.fr/fr/,277,1.05,99.00,1,91,"[16,44,55,67,67,82,100,100,67,55,55,82]",1584249026,"Image pack, Site links, Reviews, Video, AdWords top"
verre reutilisable,1,1,590,69.46,0.52,http://www.atelierdugobelet.fr/fr/gobelet-reutilisable-ecologique,277,1.05,144.00,1,5830000,"[36,55,55,82,82,82,67,82,67,67,55,100]",1584245415,"Image pack, Site links, Reviews, AdWords bottom, Shopping ads"
gobelet réutilisable personnalisé,1,1,590,61.22,0.79,http://www.atelierdugobelet.fr/fr/gobelet-reutilisable-ecologique,277,1.05,219.00,1,95400,"[44,82,82,67,82,100,82,82,82,82,54,82]",1584270166,"Image pack, Site links, Reviews, AdWords top, Shopping ads"
gobelets réutilisables,2,2,1900,65.77,0.82,http://www.atelierdugobelet.fr/fr/gobelet-reutilisable-ecologique,247,0.94,202.00,1,341000,"[34,83,83,83,83,66,55,66,55,55,45,100]",1584612302,"Image pack, Site links, Reviews, Video Carousel"
porte gobelet tour de cou,1,1,480,61.07,1.24,http://www.atelierdugobelet.fr/fr/398-porte-gobelet,225,0.85,279.00,1,372000,"[30,44,44,67,82,100,67,44,24,36,36,44]",1584220460,"Image pack, Site links, Reviews, Shopping ads"
verre plastique,2,2,1600,75.69,0.31,http://www.atelierdugobelet.fr/fr/,208,0.79,64.00,1,52700000,"[42,67,67,67,79,79,79,79,79,67,67,100]",1584183702,"Image pack, Site links, Reviews, Video, AdWords bottom, Shopping ads"
verre en plastique personnalisé,1,1,260,66.64,0.43,http://www.atelierdugobelet.fr/fr/,208,0.79,89.00,1,2560000,"[24,19,8,15,44,81,100,100,29,29,29,44]",1584615705,"Image pack, Site links, Reviews, AdWords top, Shopping ads, FAQ"
atelierdugobelet,1,1,260,75.59,0.55,http://www.atelierdugobelet.fr/fr/,208,0.79,114.00,0.34,58,"[36,54,54,100,100,67,67,67,54,44,36,67]",1584296963,"Knowledge panel, Image pack, Site links, Reviews, AdWords top"
gobelets recyclables,1,1,390,65.83,0.69,http://www.atelierdugobelet.fr/fr/gobelet-reutilisable-ecologique,183,0.69,126.00,1,274000,"[54,54,81,81,81,100,81,54,100,100,81,54]",1584007617,"Image pack, Site links, Reviews, AdWords top, AdWords bottom, Shopping ads"
verre plastique personnalisable,1,1,390,66.02,0.73,http://www.atelierdugobelet.fr/fr/,183,0.69,133.00,1,559000,"[44,36,44,66,100,100,81,100,81,66,54,36]",1583993293,"Image pack, Site links, Reviews, AdWords top, AdWords bottom, Shopping ads"
gobelet réutilisable vierge,1,1,260,59.95,0.69,http://www.atelierdugobelet.fr/fr/gobelets-25cl/622-gobelet-vierge-25cl.html,122,0.46,84.00,1,58,"[28,28,54,54,67,100,100,82,67,67,67,44]",1583753408,"Image pack, Reviews, Shopping ads"
gobelet plastique personnalisable,1,1,260,65.5,0.90,http://www.atelierdugobelet.fr/fr/,122,0.46,109.00,1,94900,"[36,44,54,44,67,82,100,100,100,67,82,67]",1583890279,"Image pack, Site links, Reviews"
porte gobelet festival,1,1,260,64.6,0.56,http://www.atelierdugobelet.fr/fr/398-porte-gobelet,122,0.46,68.00,1,458000,"[15,19,29,29,54,100,100,54,44,19,24,29]",1583683144,"Image pack, Site links, Reviews, Video, AdWords bottom, Shopping ads"
gobelet plastique réutilisable,2,2,880,68.51,0.66,http://www.atelierdugobelet.fr/fr/,114,0.43,75.00,1,176000,"[72,88,72,100,100,100,100,100,72,59,72,100]",1584439411,"Image pack, Site links, Reviews"
gobelet reutilisable,2,2,880,68.82,0.90,http://www.atelierdugobelet.fr/fr/gobelet-reutilisable-ecologique,114,0.43,102.00,1,45400,"[48,72,88,100,100,88,72,88,88,72,59,100]",1584378714,"Image pack, Site links, Reviews, AdWords top, AdWords bottom, Video Carousel"
gobelet réutilisable 25 cl,1,1,210,65.95,0.74,http://www.atelierdugobelet.fr/fr/388-gobelets-reutilisable-25-cl-33cl,98,0.37,73.00,1,88,"[44,66,81,100,100,81,66,53,66,53,44,100]",1584261183,"Image pack, Site links, Reviews"
jeton personnalisé,1,1,210,60.59,0.52,http://www.atelierdugobelet.fr/fr/416-jeton,98,0.37,51.00,1,240000,"[81,81,100,65,100,100,65,65,81,81,81,65]",1583702812,"Image pack, Site links, Reviews, Video, Shopping ads"
gobelet plastique recyclable,1,1,210,62.17,0.63,http://www.atelierdugobelet.fr/fr/gobelet-reutilisable-ecologique,98,0.37,62.00,1,92600,"[42,42,81,65,81,100,81,65,100,81,81,100]",1582974729,"Image pack, Site links, Reviews, AdWords top, AdWords bottom, Shopping ads"
atelier gobelet,1,1,110,78.6,0.56,http://www.atelierdugobelet.fr/fr/,88,0.33,49.00,0.88,1060000,"[29,41,53,65,100,100,82,53,41,65,53,41]",1583525161,"Knowledge panel, Image pack, Site links, Reviews, Video Carousel"
latelier du gobelet,1,1,110,76.64,0.78,http://www.atelierdugobelet.fr/fr/,88,0.33,68.00,0.53,574000,"[53,65,65,100,100,65,53,82,65,53,41,82]",1584527034,"Image pack, Site links, Reviews"
atelier du gobelets,1,1,110,77.79,0.73,http://www.atelierdugobelet.fr/fr/,88,0.33,64.00,0.97,3360000,"[50,64,79,100,100,79,64,100,64,64,36,79]",1584223119,"Knowledge panel, Site links, AdWords top, Video Carousel"
atelier du gobelet fr,1,1,110,68.77,0.44,http://www.atelierdugobelet.fr/fr/,88,0.33,38.00,0.49,675000,"[43,43,33,33,43,52,67,67,100,81,81,67]",1582233084,"Knowledge panel, Image pack, Site links, Reviews, AdWords top"
verre en plastique,6,7,1600,76.72,0.30,http://www.atelierdugobelet.fr/fr/,80,0.3,24.00,1,47900000,"[42,54,67,67,67,67,67,67,67,67,79,100]",1584580022,"Top stories, Image pack, Site links, Reviews, Video Carousel"
verre personnalisé plastique,1,1,170,66.03,0.33,http://www.atelierdugobelet.fr/fr/,79,0.3,26.00,1,4170000,"[44,53,66,66,53,100,100,53,28,34,53,66]",1584378812,"Image pack, Site links, Reviews"
gobelet plastique dur,1,1,170,76.63,0.38,http://www.atelierdugobelet.fr/fr/,79,0.3,30.00,1,298000,"[42,42,35,42,42,65,81,100,100,65,54,54]",1583622601,"Image pack, Site links, Reviews"
gobelets plastiques personnalisés,1,1,170,64.34,0.82,http://www.atelierdugobelet.fr/fr/,79,0.3,65.00,1,1150000,"[19,35,42,65,35,42,65,100,81,100,65,65]",1583503202,"Image pack, Site links, Reviews, AdWords top, AdWords bottom, Shopping ads"
verre plastique dur,1,1,170,75.11,0.27,http://www.atelierdugobelet.fr/fr/,79,0.3,21.00,1,5530000,"[13,13,23,28,44,54,44,54,36,36,67,100]",1584157210,"Image pack, Site links, Reviews, AdWords top, Shopping ads"
jetons personnalisés,1,1,170,56.84,0.64,http://www.atelierdugobelet.fr/fr/416-jeton,79,0.3,51.00,1,1300000,"[52,67,67,81,100,100,81,52,81,67,81,67]",1583523014,"Image pack, Site links, Reviews, AdWords top, Shopping ads"
gobelet en plastique personnalisé,1,1,90,61.16,0.68,http://www.atelierdugobelet.fr/fr/,72,0.27,48.00,1,309000,"[7,14,7,14,7,7,79,7,100,79,14,7]",1582787308,"Image pack, Site links, Reviews, AdWords top, AdWords bottom, Shopping ads"
verre en plastique dur réutilisable personnalisé,1,1,90,64.5,0.51,http://www.atelierdugobelet.fr/fr/,72,0.27,36.00,1,256000,"[24,41,41,53,65,82,82,100,82,53,53,53]",1583672609,"Image pack, Site links, Reviews, Shopping ads"
gobelet réutilisable personnalisable,1,1,140,62.44,0.86,http://www.atelierdugobelet.fr/fr/gobelet-reutilisable-ecologique,65,0.24,56.00,1,40200,"[28,16,13,66,53,28,34,53,44,22,22,100]",1584396221,"Image pack, Site links, Reviews, AdWords top, AdWords bottom, Shopping ads"
porte gobelet tour de cou,2,2,480,61.07,1.24,http://www.atelierdugobelet.fr/fr/porte-gobelets/966-porte-gobelet-tour-de-cou-avec-notre-marque-le-moins-cher.html,62,0.23,77.00,1,372000,"[30,44,44,67,82,100,67,44,24,36,36,44]",1584220460,"Image pack, Site links, Reviews, Shopping ads"
verre plastique réutilisable,2,2,480,66.57,0.53,http://www.atelierdugobelet.fr/fr/,62,0.23,33.00,1,1060000,"[67,67,44,54,82,100,82,82,44,54,44,100]",1584270078,"Image pack, Site links, Reviews, Shopping ads"
gobelet plastique rigide personnalisé,1,1,70,60.02,0.72,http://www.atelierdugobelet.fr/fr/,56,0.21,40.00,1,91,"[100,33,33,33,33,33,33,67,100,33,33,33]",1583083071,"Image pack, Site links, Reviews, Shopping ads"
atelier du gobelet orvault,1,1,70,73,0.50,http://www.atelierdugobelet.fr/fr/,56,0.21,28.00,0.45,19,"[14,100,14,29,14,14,14,14,71,14,29,14]",1582527074,"Knowledge panel, Image pack, Site links, Reviews, AdWords top"
gobelet en plastique dur,1,1,110,71.8,0.41,http://www.atelierdugobelet.fr/fr/,51,0.19,21.00,1,307000,"[33,24,52,43,67,67,100,100,67,52,52,43]",1582568375,"Image pack, Site links, Reviews, Shopping ads"
gobelet 25cl,1,1,110,67.57,0.48,http://www.atelierdugobelet.fr/fr/388-gobelets-reutilisable-25-cl-33cl,51,0.19,24.00,1,139000,"[53,53,82,82,100,100,53,65,53,82,53,100]",1584554442,"Image pack, Reviews"
les gobelets,1,1,110,68.16,0.99,http://www.atelierdugobelet.fr/fr/gobelet-reutilisable-ecologique,51,0.19,51.00,0.75,14300000,"[53,65,65,65,65,82,65,65,53,65,100,82]",1583397234,"Knowledge panel, Site links, Reviews, Video Carousel"
verres recyclables,1,1,110,62.28,0.34,http://www.atelierdugobelet.fr/fr/gobelet-reutilisable-ecologique,51,0.19,17.00,1,353000,"[41,82,65,100,100,65,53,65,65,65,65,100]",1584407544,"Image pack, Site links, AdWords top, AdWords bottom, Shopping ads"
goblet plastique,1,1,110,78.88,0.43,http://www.atelierdugobelet.fr/fr/,51,0.19,22.00,1,339000,"[41,41,65,41,53,65,65,53,65,100,82,100]",1583543645,"Knowledge panel, Site links, Reviews"
gobeler,1,1,110,76.37,1.08,http://www.atelierdugobelet.fr/fr/388-gobelets-reutilisable-25-cl-33cl,51,0.19,55.00,1,8140000,"[53,65,82,53,65,65,53,53,65,65,100,82]",1582739545,"Knowledge panel, Site links, Reviews"
gobelet à personnaliser,1,1,110,67.06,0.64,http://www.atelierdugobelet.fr/fr/,51,0.19,33.00,1,4490000,"[41,53,65,100,100,82,100,82,53,53,41,100]",1584277727,"Image pack, Site links, Reviews, FAQ"
gobelet personnalisé réutilisable,1,1,110,60.91,1.18,http://www.atelierdugobelet.fr/fr/gobelet-reutilisable-ecologique,51,0.19,61.00,1,646000,"[24,43,100,81,52,100,81,52,52,14,24,19]",1583729819,"Image pack, Site links, Reviews, Video, AdWords top, Shopping ads"
gobelet personnalisé 33cl,2,2,390,59.5,0.61,http://www.atelierdugobelet.fr/fr/delai-j10-j15/1069-gobelets-personnalises-25-cl-impression-1-couleur-j10-jours-ouvres.html,50,0.19,30.00,1,73,"[13,29,36,54,54,67,82,67,54,54,44,100]",1584158317,"Image pack, Site links, Reviews, AdWords bottom, Shopping ads"
verre en plastique dur,2,2,390,75.55,0.27,http://www.atelierdugobelet.fr/fr/,50,0.19,13.00,1,5670000,"[24,36,44,100,81,100,66,66,81,66,66,100]",1584540495,"Image pack, Site links, Reviews"
gobelet ecologique,2,2,390,63.85,0.70,http://www.atelierdugobelet.fr/fr/gobelet-reutilisable-ecologique,50,0.19,35.00,1,1130000,"[54,81,81,100,100,100,67,100,100,81,81,100]",1584291332,"Image pack, Site links, Reviews"
gobelet mariage,4,4,720,65.55,0.35,http://www.atelierdugobelet.fr/fr/,50,0.19,17.00,1,3640000,"[59,72,88,88,88,100,72,72,59,59,39,88]",1584328103,"Image pack, Site links, Reviews, Video Carousel"
25 cl,8,7,1600,73.61,0.00,http://www.atelierdugobelet.fr/fr/388-gobelets-reutilisable-25-cl-33cl,48,0.18,0.00,0.05,1600000000,"[84,84,84,84,84,84,84,84,100,100,100,100]",1584576321,"Instant answer, Image pack, Reviews, People also ask"
verre plastique serigraphié personnalisé,1,1,90,59.83,0.58,http://www.atelierdugobelet.fr/fr/,42,0.16,24.00,1,73,"[0,0,0,0,100,14,14,14,14,14,43,43]",1582331969,"Image pack, Site links, Reviews, Video, AdWords top, Shopping ads"
timbale personnalisable,1,1,90,65.83,0.41,http://www.atelierdugobelet.fr/fr/,42,0.16,17.00,1,61900,"[9,9,9,9,9,9,9,9,36,27,9,100]",1583836156,"Image pack, Site links, Reviews"
verre en plastique personnalisable,1,1,90,65.7,0.75,http://www.atelierdugobelet.fr/fr/,42,0.16,31.00,1,464000,"[5,14,10,5,100,52,5,100,52,5,5,14]",1583989468,"Image pack, Site links, Reviews, AdWords top, AdWords bottom, Shopping ads"
gobelet plastique dur personnalisé,1,1,90,65.11,0.53,http://www.atelierdugobelet.fr/fr/,42,0.16,22.00,1,63600,"[25,75,100,75,25,25,25,50,50,25,25,50]",1583450680,"Image pack, Site links, Reviews, AdWords bottom"
impression de gobelets,1,1,90,72.34,0.00,http://www.atelierdugobelet.fr/fr/delai-j10-j15/1069-gobelets-personnalises-25-cl-impression-1-couleur-j10-jours-ouvres.html,42,0.16,0.00,0,2440000,"[0,25,25,25,50,25,0,100,0,25,25,0]",1583574326,"Image pack, Site links, Reviews, Video"
gobelet a imprimer,1,1,90,62.64,0.48,http://www.atelierdugobelet.fr/fr/,42,0.16,20.00,1,418000,"[0,0,0,0,20,20,20,20,100,20,20,20]",1582409334,"Image pack, Site links, Reviews"
gobelet personnalisable petite quantité,1,1,90,62.72,1.85,http://www.atelierdugobelet.fr/fr/,42,0.16,78.00,1,86,"[14,14,14,29,14,100,14,14,14,14,14,14]",1583708559,"Image pack, Site links, Reviews, Shopping ads"
verre en plastique recyclable,1,1,90,62.05,0.49,http://www.atelierdugobelet.fr/fr/,42,0.16,20.00,1,603000,"[20,100,100,20,20,20,20,20,20,20,20,20]",1583672697,"Image pack, Site links, Reviews"
fabrication mug,1,1,90,56.57,1.34,http://www.atelierdugobelet.fr/fr/396-mug,42,0.16,56.00,1,3630000,"[20,100,40,60,20,40,40,20,40,40,20,20]",1583429634,"Image pack, Reviews, AdWords top, AdWords bottom, Shopping ads, Video Carousel"
l atelier du gobelet nantes,1,1,50,75.16,0.54,http://www.atelierdugobelet.fr/fr/,40,0.15,21.00,0.48,92,"[11,11,22,44,100,11,22,22,11,11,11,100]",1584300018,"Knowledge panel, Image pack, Site links, Reviews"
verre plastique personnalisé réutilisable,1,1,50,61.62,0.00,http://www.atelierdugobelet.fr/fr/,40,0.15,0.00,0,260000,"[0,0,11,0,11,11,11,11,78,11,100,0]",1582653359,"Image pack, Site links, Reviews, AdWords top, AdWords bottom, Shopping ads"
gobelet en plastique,8,7,1300,82.32,0.41,http://www.atelierdugobelet.fr/fr/,39,0.14,15.00,1,3740000,"[30,42,37,42,54,54,42,54,54,54,54,100]",1584579686,"Image pack, Site links, Reviews"
verre plastique personnalisé unité,3,3,390,59.79,0.40,http://www.atelierdugobelet.fr/fr/,35,0.13,14.00,1,2590000,"[26,26,32,32,48,59,100,48,26,21,17,21]",1584633669,"Image pack, Site links, Reviews, Video, AdWords bottom, Shopping ads"
gobelet personnalisé pas cher,4,4,480,67.05,0.70,http://www.atelierdugobelet.fr/fr/,33,0.12,23.00,1,352000,"[36,44,67,82,82,100,67,36,30,44,36,55]",1584431966,"Image pack, Site links, Reviews, FAQ"
la boutique du gobelet,1,1,70,56.14,0.33,http://www.atelierdugobelet.fr/fr/,32,0.12,10.00,0.27,1360000,"[33,33,67,33,33,33,33,100,33,33,33,33]",1582659948,"Knowledge panel, Image pack, Site links, Reviews"
gobelet non jetable,1,1,70,70.5,0.31,http://www.atelierdugobelet.fr/fr/gobelet-reutilisable-ecologique,32,0.12,10.00,1,934000,"[0,0,0,0,0,0,0,0,44,11,78,100]",1584316996,"Image pack, Site links, Reviews, Shopping ads"
gobelet sur mesure,1,1,70,71.93,0.92,http://www.atelierdugobelet.fr/fr/,32,0.12,30.00,1,6350000,"[11,11,11,100,11,11,11,11,33,11,11,11]",1583716370,"Image pack, Site links, Reviews, Video"
gobelet plastiques réutilisables personnalisés,1,1,70,56.76,0.78,http://www.atelierdugobelet.fr/fr/,32,0.12,25.00,1,176000,"[100,33,11,33,11,11,44,78,11,33,11,11]",1582485651,"Image pack, Site links, Reviews"
impression gobelet plastique,1,1,40,64.5,0.44,http://www.atelierdugobelet.fr/fr/,32,0.12,14.00,1,461000,"[20,40,20,20,80,60,60,20,20,100,20,20]",1582794052,"Image pack, Site links, Reviews, AdWords top, Shopping ads, Video Carousel"
verre en plastique a personnaliser,1,1,40,60.2,0.47,http://www.atelierdugobelet.fr/fr/,32,0.12,15.00,0.93,3570000,"[0,0,0,14,71,57,100,71,29,14,14,14]",1583162969,"Image pack, Site links, Reviews, Video Carousel"
verre recyclable logo,1,1,70,63.74,0.42,http://www.atelierdugobelet.fr/fr/gobelet-reutilisable-ecologique,32,0.12,13.00,1,1390000,"[14,43,14,14,14,71,29,43,29,14,14,100]",1583360650,"Image pack, Site links, Reviews, Shopping ads"
gobelet reutilisable 50cl,1,1,70,58.9,0.68,http://www.atelierdugobelet.fr/fr/393-gobelets-reutilisable-50cl-60cl,32,0.12,22.00,0.99,87,"[14,14,14,100,14,14,29,14,14,71,14,14]",1582395948,"Image pack, Site links, Reviews"
achat gobelet recyclable,1,1,40,58.51,0.00,http://www.atelierdugobelet.fr/fr/gobelet-reutilisable-ecologique,32,0.12,0.00,0,165000,"[29,14,100,14,43,14,14,29,14,43,29,0]",1582540157,"Image pack, Site links, Reviews"
tasse à café réutilisable personnalisé,1,1,70,63.42,0.69,http://www.atelierdugobelet.fr/fr/406-gobelets-mugs,32,0.12,22.00,1,91,"[20,40,20,20,60,20,20,100,40,20,20,80]",1583660318,"Image pack, Site links, Reviews, Shopping ads"
achat verre plastique reutilisable,1,1,70,57.78,0.72,http://www.atelierdugobelet.fr/fr/,32,0.12,23.00,0.97,1130000,"[100,100,100,100,100,100,100,100,100,100,100,100]",1583234303,"Image pack, Site links, Reviews, AdWords top, AdWords bottom, Shopping ads"
gobelet personnalisé anniversaire,5,5,590,56.33,0.48,http://www.atelierdugobelet.fr/fr/,29,0.11,14.00,1,99,"[39,48,48,72,100,88,88,88,48,39,32,59]",1584270204,"Image pack, Site links, Reviews"
verres plastiques personnalisés,2,2,210,65.06,0.88,http://www.atelierdugobelet.fr/fr/,27,0.1,24.00,1,87800,"[28,54,28,28,67,100,82,44,54,67,54,36]",1583940834,"Image pack, Site links, Reviews, AdWords top"
verre plastique rigide,4,3,390,74.47,0.26,http://www.atelierdugobelet.fr/fr/,27,0.1,7.00,1,4620000,"[44,82,67,100,67,82,67,24,29,24,24,44]",1584633454,"Image pack, Site links, Reviews"
gobelet plastique recyclable,2,2,210,62.17,0.63,http://www.atelierdugobelet.fr/fr/,27,0.1,17.00,1,92600,"[42,42,81,65,81,100,81,65,100,81,81,100]",1582974729,"Image pack, Site links, Reviews, AdWords top, AdWords bottom, Shopping ads"
gobelet réutilisable 33cl personnalisé,2,2,210,58.7,0.74,http://www.atelierdugobelet.fr/fr/delai-j10-j15/1069-gobelets-personnalises-25-cl-impression-1-couleur-j10-jours-ouvres.html,27,0.1,20.00,1,75,"[0,7,10,15,19,29,24,36,36,29,44,100]",1584157480,"Image pack, Site links, Reviews, Shopping ads"
verre en plastique dur réutilisable,2,2,210,69.17,0.57,http://www.atelierdugobelet.fr/fr/,27,0.1,15.00,1,152000,"[44,67,67,67,82,100,54,54,44,44,18,44]",1583864941,"Image pack, Site links, Reviews, Shopping ads"
gobelet a personnaliser,1,1,50,67.65,0.98,http://www.atelierdugobelet.fr/fr/,23,0.08,23.00,1,365000,"[60,40,20,20,20,20,20,100,20,80,20,20]",1583800705,"Image pack, Site links, Reviews, Video, AdWords top"
gobelets plastiques réutilisables personnalisés,1,1,50,60.57,1.55,http://www.atelierdugobelet.fr/fr/,23,0.08,36.00,1,177000,"[0,0,0,0,0,0,0,0,0,0,0,100]",1584068667,"Site links, Reviews, AdWords top, AdWords bottom, Shopping ads"
gobelet rigide,1,1,50,73.21,0.38,http://www.atelierdugobelet.fr/fr/,23,0.08,8.00,1,565000,"[1,3,1,1,1,1,2,1,13,100,1,2]",1583829252,"Image pack, Site links, Reviews, AdWords top"
ecocup vierge,1,1,50,66.63,0.64,http://www.atelierdugobelet.fr/fr/gobelets-25cl/622-gobelet-vierge-25cl.html,23,0.08,15.00,1,67,"[3,3,8,3,3,3,5,28,54,3,5,100]",1584501173,"Image pack, Site links, Reviews, AdWords top, AdWords bottom"
gobelet plastique original,1,1,50,77.03,0.00,http://www.atelierdugobelet.fr/fr/,23,0.08,0.00,1,75,"[11,11,11,11,11,11,11,11,11,100,22,11]",1584086613,"Image pack, Site links, Reviews, Shopping ads, Video Carousel"
tour de cou gobelet,1,1,50,58.31,0.46,http://www.atelierdugobelet.fr/fr/398-porte-gobelet,23,0.08,10.00,1,310000,"[14,43,100,100,14,14,43,14,100,14,14,14]",1582754334,"Image pack, Reviews, Shopping ads"
flocage gobelet plastique,1,1,50,66.29,0.41,http://www.atelierdugobelet.fr/fr/,23,0.08,9.00,1,76,"[0,0,0,0,0,0,0,0,0,67,100,33]",1583907239,"Image pack, Site links, Reviews, Video, AdWords top, AdWords bottom, Shopping ads, Video Carousel"
photo gobelet,1,1,50,62.65,0.00,http://www.atelierdugobelet.fr/fr/delai-j10-j15/4689-gobelet-photo-impression-quadri-sup-a-100ex.html,23,0.08,0.00,1,7510000,"[40,20,100,20,80,20,60,40,20,20,20,20]",1582832940,"Image pack, Site links, Reviews, Video, Video Carousel"
personnalisation verre plastique,1,1,50,64.65,0.00,http://www.atelierdugobelet.fr/fr/,23,0.08,0.00,0.86,8440000,"[25,25,25,50,25,25,100,50,25,100,50,25]",1583397089,"Image pack, Site links, Reviews, Video Carousel"
gobelets plastique recyclables,1,1,50,67.43,0.78,http://www.atelierdugobelet.fr/fr/gobelet-reutilisable-ecologique,23,0.08,18.00,1,70000,"[11,11,11,56,33,100,11,11,44,44,11,11]",1583962692,"Image pack, Site links, Reviews, AdWords top, Shopping ads"
gobelet festival,2,2,170,67.01,0.57,http://www.atelierdugobelet.fr/fr/,22,0.08,12.00,1,2810000,"[54,35,65,65,81,81,100,65,54,54,54,42]",1583536192,"Image pack, Site links, Reviews, AdWords top, Shopping ads"
gobelet personnalisé anniversaire pas cher,4,4,320,65.68,0.67,http://www.atelierdugobelet.fr/fr/,22,0.08,15.00,1,93,"[23,23,44,67,54,100,100,81,81,81,35,29]",1583827930,"Image pack, Site links, Reviews, Image, Shopping ads"
gobelets personnalises,2,2,170,63.89,0.73,http://www.atelierdugobelet.fr/fr/,22,0.08,16.00,1,20200,"[66,53,44,34,28,44,53,53,66,81,81,100]",1583998221,"Image pack, Site links, Reviews"
eco gobelet,8,8,720,63.88,1.00,http://www.atelierdugobelet.fr/fr/gobelet-reutilisable-ecologique,21,0.08,21.00,1,948000,"[39,72,88,100,100,72,48,72,72,59,39,72]",1584206473,"Image pack, Site links, Reviews"
verres personnalisés,7,7,480,67.27,0.57,http://www.atelierdugobelet.fr/fr/,19,0.07,10.00,1,25700000,"[54,54,66,81,81,81,66,81,66,100,100,66]",1584288787,"Image pack, Site links, Reviews, Video Carousel, FAQ"
gobelet personnalisé ecole,5,5,390,63.75,0.69,http://www.atelierdugobelet.fr/fr/,19,0.07,13.00,1,98,"[14,26,32,32,32,88,100,39,21,17,14,21]",1584593855,"Image pack, Site links, Reviews, Video"
gobelet festival prix,1,1,40,65.69,0.00,http://www.atelierdugobelet.fr/fr/gobelet-reutilisable-ecologique,18,0.06,0.00,1,547000,"[50,25,100,25,25,25,25,50,100,25,25,50]",1583708758,"Image pack, Site links, Reviews, Featured snippet, Shopping ads"
