Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword
gros bol personnalisé,59,59,50,72.7,0.31,http://www.atelierdugobelet.fr/fr/,0,0,0.00,1,1500000,"[25,50,25,25,75,25,25,25,25,100,25,25]",1583811272,"Image pack, Reviews"
ecogobelet,10,10,140,57.01,1.34,http://www.atelierdugobelet.fr/fr/gobelet-reutilisable-ecologique,0,0,1.00,1,5270,"[52,52,67,100,100,100,81,43,81,67,43,52]",1583576610,"Image pack, Site links, Reviews, Video, AdWords top"
café gobelet plastique,81,81,90,67.58,0.00,http://www.atelierdugobelet.fr/fr/,0,0,0.00,1,847000,"[43,14,14,29,29,100,14,14,14,14,14,14]",1582951784,"Image pack, Reviews"
fabriquer porte verre,40,40,90,80.04,0.00,http://www.atelierdugobelet.fr/fr/,0,0,0.00,0.95,7470000,"[0,11,11,100,11,11,11,22,11,11,11,11]",1584399576,"Image pack, Reviews, Video, Shopping ads, Video Carousel"
d expédition,80,80,110,76.34,0.15,http://www.atelierdugobelet.fr/fr/expedition,0,0,0.00,0.89,429000000,"[53,65,53,53,53,82,82,65,53,65,65,100]",1582739439,"Local pack, Site links, Reviews"
telephone service client gaumont,65,65,90,72.92,0.00,http://www.atelierdugobelet.fr/fr/contactez-nous,0,0,0.00,0.57,92,"[50,50,50,50,100,50,50,50,0,50,50,50]",1583410965,"Image pack, Reviews, Featured snippet"
delai livraison carte vistaprint,75,75,50,82.22,0.00,http://www.atelierdugobelet.fr/fr/gobelet-reutilisable-ecologique,0,0,0.00,0,94,"[0,0,0,0,0,0,0,0,0,14,100,0]",1583619597,"Image pack, Reviews, Featured snippet, AdWords top"
personnaliser bracelet silicone,83,83,40,58.76,1.23,http://www.atelierdugobelet.fr/fr/413-bracelet,0,0,0.00,0.82,380000,"[33,33,33,33,100,67,67,33,33,33,33,33]",1582688120,"Image pack, Site links, Reviews"
grand gobelet plastique,23,23,40,67.43,0.23,http://www.atelierdugobelet.fr/fr/,0,0,0.00,1,1010000,"[2,2,5,2,2,5,5,3,2,2,100,12]",1582355533,"Image pack, Site links, Reviews, AdWords top, Shopping ads, Video Carousel"
en plastique,67,67,320,90.57,0.28,http://www.atelierdugobelet.fr/fr/,0,0,0.00,0.19,198000000,"[67,67,82,82,67,82,82,82,100,100,82,82]",1583622064,"Top stories, Image pack, Site links, Reviews, Video, Video Carousel"
carafe en verre personnalisable,85,85,90,59.46,1.27,http://www.atelierdugobelet.fr/fr/,0,0,0.00,0.94,85900,"[20,40,20,20,20,20,20,100,20,20,20,100]",1582412971,"Image pack, Reviews"
porte verre original,89,89,70,68,0.00,http://www.atelierdugobelet.fr/fr/,0,0,0.00,1,0,"[14,14,100,14,43,14,14,14,29,14,57,14]",1583313042,"Image pack, Reviews, Video Carousel"
cmcifr2a quelle banque,61,61,110,63.59,0.00,http://www.atelierdugobelet.fr/faq,0,0,0.00,0.01,6490,"[53,53,65,53,82,100,100,65,41,65,82,100]",1582730615,"Image pack, Reviews, Featured snippet, People also ask"
goblet jetable,45,45,50,79.45,0.33,http://www.atelierdugobelet.fr/fr/gobelet-reutilisable-ecologique,0,0,0.00,1,201000,"[25,25,25,25,25,25,25,25,100,50,25,100]",1583436722,"Knowledge panel, Image pack, Site links, Reviews, Video Carousel"
gobelet anniversaire,26,26,210,76.51,0.34,http://www.atelierdugobelet.fr/fr/,0,0,0.00,1,978000,"[53,66,53,66,81,81,66,81,81,81,44,100]",1584525910,"Image pack, Reviews, Video"
gobelet dinor,57,57,50,79.28,0.00,http://www.atelierdugobelet.fr/fr/388-gobelets-reutilisable-25-cl-33cl,0,0,0.00,0.32,65,"[0,0,0,0,0,0,0,20,20,20,20,100]",1582452334,"Image pack, Reviews, Featured video, Video Carousel"
fermeture inviolable,68,68,50,57.07,0.00,http://www.atelierdugobelet.fr/fr/bracelet-vinyle-personnalise/1354-bracelet-vinyle-2.html,0,0,0.00,1,95,"[22,11,11,11,33,56,100,11,11,11,22,56]",1582903855,"Image pack, Reviews, Video"
badge evento,91,91,40,65.56,0.00,http://www.atelierdugobelet.fr/it/407-prodotti-eventi,0,0,0.00,0,58800000,"[0,0,0,100,0,0,0,0,0,0,33,0]",1582831675,"Image pack, Site links, Reviews, Video"
verre consigné,90,90,320,77.82,0.22,http://www.atelierdugobelet.fr/fr/gobelet-reutilisable-ecologique,0,0,0.00,1,5350000,"[29,29,36,44,66,100,66,54,66,66,44,54]",1583705153,"Image pack, Video Carousel"
flute champagne tritan,26,26,50,62.66,0.00,http://www.atelierdugobelet.fr/fr/gobelets-mugs/567-flute-de-champagne.html,0,0,0.00,1,175000,"[100,0,25,0,50,0,50,25,0,50,25,25]",1582833303,"Image pack, Reviews, Video, Shopping ads"
arbre mariage,40,32,390,75.81,0.18,http://www.atelierdugobelet.fr/fr/photo-sur-toile/1496-arbre-a-empreintes.html,0,0,0.00,1,31800000,"[29,44,54,81,81,100,100,66,54,36,44,66]",1584605321,"Image pack, Reviews, Shopping ads, Video Carousel"
