Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword
gobelet réutilisable vierge,17,17,260,59.95,0.69,https://wobz.fr/gobelet-vierge-25-cl.html,1,0.5,0.00,1,58,"[28,28,54,54,67,100,100,82,67,67,67,44]",1583753408,"Image pack, Reviews, Shopping ads"
gobelet mariage personnalisé,14,14,170,63.44,0.56,https://wobz.fr/gobelet-personnalise-mariage-car.html,1,0.5,0.00,0.94,92,"[52,67,67,100,100,67,81,100,81,52,52,81]",1583810611,"Image pack, Site links, Reviews, Video"
photo gobelet,8,8,50,62.65,0.00,https://wobz.fr/gobelet-personnalise-33cl-qualite-photo-impression-7cm.html,1,0.5,0.00,1,7510000,"[40,20,100,20,80,20,60,40,20,20,20,20]",1582832940,"Image pack, Site links, Reviews, Video, Video Carousel"
couronne en gobelet,7,7,40,55.66,0.00,https://wobz.fr/gobelet-personnalise-mariage-en-couronne-de-fleurs.html,1,0.5,0.00,0.05,738000,"[60,0,0,100,0,20,40,0,0,0,20,20]",1582772860,"Image pack, Reviews, Video Carousel"
verre a personnaliser,12,12,110,63.92,0.44,https://wobz.fr/verres-personnalises-en-verre,1,0.5,0.00,1,20500000,"[41,41,53,41,65,82,53,53,65,53,100,100]",1582864458,"Site links, Reviews, AdWords top, AdWords bottom, Shopping ads, Video Carousel"
personnaliser gobelet,12,12,110,65.85,0.50,https://wobz.fr/,1,0.5,0.00,1,390000,"[24,43,33,19,43,43,43,52,81,81,100,81]",1583763796,"Image pack, Site links, Reviews, Featured snippet"
gobelet plastique maroc,8,8,50,58.57,0.00,https://wobz.fr/gobelet-personnalise-pour-mariage-marocain.html,1,0.5,0.00,0.67,84300,"[0,0,100,20,60,0,20,0,40,20,20,20]",1582942537,"Image pack, Reviews, Video, Shopping ads"
verre a vin plastique,47,47,390,76.6,0.31,https://wobz.fr/verre-a-vin-personnalise-cabernet-en-plastique-qualite-photo.html,0,0,0.00,1,8940000,"[44,66,66,81,100,100,100,100,54,66,66,54]",1584223107,"Image pack, Reviews, Video, Shopping ads"
verre à vin plastique,42,42,110,64.38,0.39,https://wobz.fr/verre-a-vin-personnalise-cabernet-en-plastique-qualite-photo.html,0,0,0.00,1,8590000,"[50,50,36,79,79,100,100,100,64,79,79,64]",1582570379,"Image pack, Reviews, Video"
panier bébé personnalisé,76,76,50,61.11,0.18,https://wobz.fr/gobelet-personnalise-naissance-moon.html,0,0,0.00,1,10900000,"[1,2,1,1,1,10,1,10,1,1,1,100]",1582956745,"Image pack, Reviews, Video, Shopping ads"
