Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword
ceinture porte gobelet,1,1,50,64.53,0.00,https://cupkiller.com/fr/accessoires/298-porte-gobelet-porte-ceinture.html,23,0.18,0.00,1,754000,"[33,33,67,33,33,33,33,33,33,100,67,67]",1584044122,"Image pack, Reviews"
gobelet réutilisable vierge,3,3,260,59.95,0.69,https://cupkiller.com/fr/140-gobelet-vierge-25-cl,23,0.18,16.00,1,58,"[28,28,54,54,67,100,100,82,67,67,67,44]",1583753408,"Image pack, Reviews, Shopping ads"
faire des gobelets personnalisés,1,1,50,62,0.63,https://cupkiller.com/,23,0.18,14.00,1,391000,"[0,25,25,75,25,25,25,75,25,25,25,100]",1583433164,"Image pack, Site links, Reviews, AdWords bottom, Shopping ads"
verre personnalisé plastique,2,2,170,66.03,0.33,https://cupkiller.com/,22,0.17,7.00,1,4170000,"[44,53,66,66,53,100,100,53,28,34,53,66]",1584378812,"Image pack, Site links, Reviews"
gobelet personnalisable mariage,2,2,170,68.63,0.51,https://cupkiller.com/fr/gobelet-serigraphie/807-gobelet-thematique-mariage-anniversaire.html,22,0.17,11.00,1,65,"[65,81,100,81,100,100,81,81,27,35,27,100]",1584219950,"Image pack, Site links"
gobelet mariage personnalisé,2,2,170,63.44,0.56,https://cupkiller.com/fr/gobelet-serigraphie/807-gobelet-thematique-mariage-anniversaire.html,22,0.17,12.00,0.94,92,"[52,67,67,100,100,67,81,100,81,52,52,81]",1583810611,"Image pack, Site links, Reviews, Video"
gobelets plastiques personnalisés,2,2,170,64.34,0.82,https://cupkiller.com/,22,0.17,18.00,1,1150000,"[19,35,42,65,35,42,65,100,81,100,65,65]",1583503202,"Image pack, Site links, Reviews, AdWords top, AdWords bottom, Shopping ads"
ecocup personnalisé,4,2,1600,61.8,0.71,https://cupkiller.com/,22,0.17,15.00,1,98,"[53,68,68,100,100,100,84,84,84,100,53,100]",1584597489,"Image pack, Site links, Reviews, Video"
verre incassable,8,8,720,67.32,0.24,https://cupkiller.com/de/actu//la-revolution-des-verres-incassables,21,0.16,5.00,1,1340000,"[54,82,82,82,100,100,100,82,82,100,100,100]",1584468050,"Image pack, Site links, Reviews, Video, AdWords top, Video Carousel"
verre en plastique,12,15,1600,76.72,0.30,https://cupkiller.com/,20,0.15,6.00,1,47900000,"[42,54,67,67,67,67,67,67,67,67,79,100]",1584580022,"Top stories, Image pack, Site links, Reviews, Video Carousel"
verre plastique personnalisé mariage,2,2,140,65.62,0.68,https://cupkiller.com/fr/gobelet-serigraphie/807-gobelet-thematique-mariage-anniversaire.html,18,0.14,12.00,1,2580000,"[42,35,100,81,65,81,81,54,54,35,19,19]",1583600843,"Image pack, Site links, Reviews, Video, AdWords top, AdWords bottom, Shopping ads"
eco gobelet mariage,1,1,40,63.49,0.62,https://cupkiller.com/fr/gobelet-serigraphie/807-gobelet-thematique-mariage-anniversaire.html,18,0.14,11.00,1,75,"[11,11,22,11,78,11,100,11,11,22,11,11]",1584235382,"Image pack, Site links, Reviews, Video"
5bubbles,1,1,40,71,0.00,https://cupkiller.com/,18,0.14,0.00,0,508000,"[100,11,33,11,11,11,11,11,11,11,78,22]",1582652804,"Image pack, Site links, Reviews, Video"
verre plastique réutilisable prix,1,1,40,58.2,0.88,https://cupkiller.com/,18,0.14,16.00,1,676000,"[0,11,11,11,100,11,11,11,22,56,11,33]",1582410292,"Site links, Reviews, AdWords top"
gobelet réutilisable personnalisable,2,2,140,62.44,0.86,https://cupkiller.com/,18,0.14,15.00,1,40200,"[28,16,13,66,53,28,34,53,44,22,22,100]",1584396221,"Image pack, Site links, Reviews, AdWords top, AdWords bottom, Shopping ads"
gobelet réutilisable personnalisé particulier,1,1,40,62.02,0.63,https://cupkiller.com/,18,0.14,11.00,1,83,"[11,11,11,11,11,100,33,11,22,44,11,11]",1584507940,"Image pack, Site links, Reviews, AdWords top, AdWords bottom, Shopping ads, FAQ"
ecocup mariage,3,3,1000,64.15,0.47,https://cupkiller.com/fr/gobelet-serigraphie/807-gobelet-thematique-mariage-anniversaire.html,18,0.14,8.00,1,73,"[55,63,63,63,81,100,81,63,63,37,30,100]",1584454744,"Image pack, Site links, Reviews, Shopping ads"
gobelet plastique personnalisé ecole,3,3,210,63.88,0.55,https://cupkiller.com/fr/gobelet-preset/1241-gobelet-personnalise-25cl-fete-des-ecoles-enfants-qualite-photo.html,18,0.14,10.00,1,67,"[1,1,1,3,10,55,100,82,10,6,6,6]",1584176673,"Image pack, Site links, Reviews, Video, AdWords bottom, Shopping ads"
verre personnalisable,3,3,210,72.14,0.59,https://cupkiller.com/,18,0.14,11.00,1,3590000,"[28,28,36,36,67,67,54,54,54,44,82,100]",1584072844,"Image pack, Site links, Reviews, Video, AdWords top, Shopping ads"
gobelet perso,1,1,40,61.7,0.62,https://cupkiller.com/,18,0.14,11.00,0.93,135000,"[71,43,14,14,100,14,14,43,71,14,14,14]",1583687177,"Image pack, Site links, Reviews"
gobelet prenom,8,8,590,70.81,0.16,https://cupkiller.com/,17,0.13,2.00,0.99,679000,"[6,6,9,9,21,53,100,68,14,14,14,11]",1584321639,"Image pack, Site links, Reviews, Video"
verre en plastique dur,7,7,390,75.55,0.27,https://cupkiller.com/,15,0.11,4.00,1,5670000,"[24,36,44,100,81,100,66,66,81,66,66,100]",1584540495,"Image pack, Site links, Reviews"
gobelet cup,3,3,170,61.57,0.84,https://cupkiller.com/,15,0.11,12.00,1,1600000,"[42,54,65,54,100,81,65,42,65,65,65,65]",1583557408,"Image pack, Site links, Reviews, AdWords top, Shopping ads, Video Carousel"
verre personnalisé pas cher,3,3,170,58.98,0.44,https://cupkiller.com/,15,0.11,6.00,1,24200000,"[100,81,42,65,54,65,54,35,81,54,54,42]",1582999322,"Image pack, Site links, Reviews"
gobelet réutilisable pas cher,3,3,170,65.94,1.03,https://cupkiller.com/,15,0.11,15.00,1,156000,"[66,44,81,100,81,53,34,34,66,44,22,28]",1583875925,"Image pack, Site links, Reviews"
gobelet en plastique dur,2,2,110,71.8,0.41,https://cupkiller.com/,14,0.11,5.00,1,307000,"[33,24,52,43,67,67,100,100,67,52,52,43]",1582568375,"Image pack, Site links, Reviews, Shopping ads"
gobelet réutilisable mariage,2,2,110,60.64,0.72,https://cupkiller.com/fr/gobelet-serigraphie/807-gobelet-thematique-mariage-anniversaire.html,14,0.11,10.00,1,68,"[33,24,52,67,67,81,100,67,67,43,19,52]",1584028820,"Image pack, Site links, Reviews"
gobelet 25cl,2,2,110,67.57,0.48,https://cupkiller.com/fr/gobelet-vierge-25-cl/1106-gobelet-translucide-25cl.html,14,0.11,6.00,1,139000,"[53,53,82,82,100,100,53,65,53,82,53,100]",1584554442,"Image pack, Reviews"
25 cl,13,11,1600,73.61,0.00,https://cupkiller.com/fr/gobelet-vierge-25-cl/1106-gobelet-translucide-25cl.html,14,0.11,0.00,0.05,1600000000,"[84,84,84,84,84,84,84,84,100,100,100,100]",1584576321,"Instant answer, Image pack, Reviews, People also ask"
verre plastique mariage,2,2,110,61.5,0.21,https://cupkiller.com/fr/gobelet-serigraphie/807-gobelet-thematique-mariage-anniversaire.html,14,0.11,3.00,1,8950000,"[12,8,8,19,35,35,54,100,65,81,81,42]",1582263482,"Image pack, Site links, Reviews, Video"
gourde personnalisée maternelle,4,4,210,71.75,0.55,https://cupkiller.com/fr/gourdes-thematiques/1305-gourde-personnalisee-ecole-maternelle.html,14,0.11,8.00,1,69,"[15,6,15,15,29,44,67,100,100,35,44,35]",1584086333,"Image pack, Reviews, Video, AdWords top, Shopping ads, Video Carousel"
gobelet personnalisé réutilisable,2,2,110,60.91,1.18,https://cupkiller.com/,14,0.11,16.00,1,646000,"[24,43,100,81,52,100,81,52,52,14,24,19]",1583729819,"Image pack, Site links, Reviews, Video, AdWords top, Shopping ads"
gobelet personnalisé pas cher petite quantité,5,5,260,61.56,0.79,https://cupkiller.com/,13,0.1,10.00,1,88,"[54,44,54,44,54,100,100,54,35,29,23,19]",1583457702,"Image pack, Site links, Reviews, AdWords bottom, Shopping ads"
gobelets réutilisables personnalisés,3,3,720,61.21,0.73,https://cupkiller.com/,12,0.09,9.00,1,58100,"[59,72,88,100,100,88,72,72,39,48,39,88]",1584180132,"Image pack, Site links, Reviews, AdWords top, Shopping ads"
ecocup personnalisé mariage,3,3,140,61.22,0.63,https://cupkiller.com/fr/gobelet-serigraphie/807-gobelet-thematique-mariage-anniversaire.html,12,0.09,7.00,1,58,"[52,43,43,52,67,81,100,81,81,81,52,33]",1582560508,"Image pack, Site links, Reviews, Shopping ads"
ecocup personnalisable,3,3,720,60.89,0.87,https://cupkiller.com/,12,0.09,11.00,1,12100,"[16,30,24,30,45,55,55,100,81,37,55,63]",1584447152,"Image pack, Site links, Reviews, Video, AdWords top"
verre plastique serigraphié personnalisé,2,2,90,59.83,0.58,https://cupkiller.com/,11,0.08,6.00,1,73,"[0,0,0,0,100,14,14,14,14,14,43,43]",1582331969,"Image pack, Site links, Reviews, Video, AdWords top, Shopping ads"
verre en plastique personnalisable,2,2,90,65.7,0.75,https://cupkiller.com/,11,0.08,8.00,1,464000,"[5,14,10,5,100,52,5,100,52,5,5,14]",1583989468,"Image pack, Site links, Reviews, AdWords top, AdWords bottom, Shopping ads"
ecocup personnalisé pas cher,2,2,90,55.77,1.02,https://cupkiller.com/,11,0.08,11.00,1,74,"[65,65,82,65,100,100,65,41,29,29,29,29]",1583117015,"Image pack, Site links, Reviews"
gobelet plastique dur personnalisé,2,2,90,65.11,0.53,https://cupkiller.com/,11,0.08,6.00,1,63600,"[25,75,100,75,25,25,25,50,50,25,25,50]",1583450680,"Image pack, Site links, Reviews, AdWords bottom"
verre plastique rigide,8,6,390,74.47,0.26,https://cupkiller.com/,11,0.08,3.00,1,4620000,"[44,82,67,100,67,82,67,24,29,24,24,44]",1584633454,"Image pack, Site links, Reviews"
25 cl,14,12,1600,73.61,0.00,https://cupkiller.com/fr/gobelet-a-personnaliser-25-cl-impression-quadri-multicolore/1084-gobelet-personnalise-qualite-photo-25cl.html,11,0.08,0.00,0.05,1600000000,"[84,84,84,84,84,84,84,84,100,100,100,100]",1584576321,"Instant answer, Image pack, Reviews, People also ask"
gobelet réutilisable association,4,4,170,60.12,0.72,https://cupkiller.com/,11,0.08,8.00,0.84,181000,"[0,6,16,44,100,100,53,66,53,81,100,53]",1583495809,"Image pack, Site links, Reviews, AdWords top, AdWords bottom"
gobelet réutilisable 25 cl,6,6,210,65.95,0.74,https://cupkiller.com/,10,0.07,7.00,1,88,"[44,66,81,100,100,81,66,53,66,53,44,100]",1584261183,"Image pack, Site links, Reviews"
gobelet réutilisable 25 cl,5,5,210,65.95,0.74,https://cupkiller.com/fr/gobelet-vierge-25-cl/1106-gobelet-translucide-25cl.html,10,0.07,7.00,1,88,"[44,66,81,100,100,81,66,53,66,53,44,100]",1584261183,"Image pack, Site links, Reviews"
ecocup prix,4,4,720,65.42,0.34,https://cupkiller.com/,10,0.07,3.00,1,37600,"[55,82,82,100,100,67,55,55,82,82,67,82]",1584637233,"Site links, Reviews, Featured snippet, AdWords top, AdWords bottom, Shopping ads"
verre ecocup,3,3,590,65.24,0.44,https://cupkiller.com/,10,0.07,4.00,1,22400,"[36,55,55,67,82,82,82,100,67,55,55,82]",1584180112,"Image pack, Site links, Reviews, AdWords top, AdWords bottom, Shopping ads, Video Carousel"
verre en plastique dur réutilisable,6,6,210,69.17,0.57,https://cupkiller.com/,10,0.07,5.00,1,152000,"[44,67,67,67,82,100,54,54,44,44,18,44]",1583864941,"Image pack, Site links, Reviews, Shopping ads"
gobelet recyclable,12,12,720,64.35,0.43,https://cupkiller.com/,9,0.07,4.00,1,298000,"[55,82,67,82,82,67,67,100,100,82,67,100]",1584489614,"Image pack, Site links, Reviews, AdWords top, Shopping ads"
gobelets com,3,3,110,50.18,0.85,https://cupkiller.com/,9,0.07,8.00,0.63,6140000,"[43,33,67,67,100,67,67,67,33,24,33,14]",1582406812,"Image pack, Site links, Reviews"
gobelet personnalisé bapteme,4,4,140,58.37,0.57,https://cupkiller.com/,9,0.07,5.00,1,216000,"[16,28,34,53,66,53,100,81,44,16,16,13]",1582460619,"Image pack, Site links, Reviews"
gobelet plastiques réutilisables personnalisés,2,2,70,56.76,0.78,https://cupkiller.com/,9,0.07,7.00,1,176000,"[100,33,11,33,11,11,44,78,11,33,11,11]",1582485651,"Image pack, Site links, Reviews"
gobelet marie,2,2,70,59.28,0.00,https://cupkiller.com/fr/gobelet-serigraphie/807-gobelet-thematique-mariage-anniversaire.html,9,0.07,0.00,1,2350000,"[0,100,20,0,0,60,20,20,0,20,0,60]",1582319815,"Image pack, Site links, Reviews, Video"
verres recyclables,3,3,110,62.28,0.34,https://cupkiller.com/,9,0.07,3.00,1,353000,"[41,82,65,100,100,65,53,65,65,65,65,100]",1584407544,"Image pack, Site links, AdWords top, AdWords bottom, Shopping ads"
verre personnalisable mariage,2,2,70,68.84,0.33,https://cupkiller.com/fr/gobelet-serigraphie/807-gobelet-thematique-mariage-anniversaire.html,9,0.07,3.00,1,1510000,"[20,20,20,20,20,100,20,20,20,60,20,20]",1583966642,"Image pack, Site links, Reviews, AdWords top, Shopping ads"
acheter verre plastique réutilisable,2,2,70,68.18,0.41,https://cupkiller.com/,9,0.07,3.00,1,2600000,"[0,0,0,0,50,25,100,100,75,25,50,25]",1583945057,"Image pack, Site links, Reviews, Shopping ads"
cupkiller avis,3,3,110,75.59,4.14,https://cupkiller.com/,9,0.07,40.00,0.22,14,"[29,41,65,65,100,100,82,100,65,82,53,41]",1582853790,"Knowledge panel, Image pack, Site links, Reviews"
cup mariage,2,2,70,65.44,0.38,https://cupkiller.com/fr/gobelet-serigraphie/807-gobelet-thematique-mariage-anniversaire.html,9,0.07,3.00,1,16500000,"[14,29,14,14,14,14,43,43,14,71,14,100]",1584464452,"Image pack, Site links, Reviews, Video, Video Carousel"
personnaliser gobelet,3,3,110,65.85,0.50,https://cupkiller.com/,9,0.07,4.00,1,390000,"[24,43,33,19,43,43,43,52,81,81,100,81]",1583763796,"Image pack, Site links, Reviews, Featured snippet"
